County,Facility_Name,Permit_Number,Facility_Type,Facility_Address,Facility_City,Facility_State,Facility_Zip,Dominion,Contact_Name,Contact_Address,Contact_City,Contact_State,Contact_Zip,Manager_Name,Manager_Address,Manager_City,Manager_State,Manager_Zip,Contact_AreaCode,Contact_Phone,Manager_AreaCode,Manager_Phone,Latitude ,Longitude ,Notes
Chatham,Georgia Recycling Transfer Station,PBR-025-48TTemporaryTS,TS,355 N. Lathrop Ave.,Savannah,GA,31415,Private Commercial,Savannah Steel Terminal - Georgia Recyclers,355 North Lathrop Ave.,Savannah,GA,31415,John Black,355 N. Lathrop Ave.,Savannah,GA,31415,912,232-8332,912,232-8332,32.09583,-81.11527,
Chattooga,Chattooga County Transfer Station,PBR-027-04TS,TS,118 Stockade Rd.,Summerville,GA,30747,Public,,,,,,,,,,,,,,,34.49003,-85.33664,
Cherokee,"Keep Cherokee Beautiful, Inc.",PBR-023-113TS,TS,470 Blalock Rd.,Canton,GA,30115,Public,"Keep Cherokee Beautiful, Inc.",470 Blalock Rd.,Canton,GA,30115,,,,,,770,517-7650,,,34.148927,-84.476479,
Cherokee,Waste Management - Woodstock Hauling,PBR-028-099TS,TS,6970 Main St.,Woodstock,GA,30188,Private,Waste Management,,,,,,,,,,404,794-6707,,,34.122524,-84.506444,
Clarke,Athens Paradise Boulevard Transfer Station ,PBR-029-46-A-TS,TS,Paradise Blvd.,Athens,GA,30601,Private Commercial,"Republic Services of Georgia, LP",550 Six Flags Pkwy.,Mableton,GA,30126,Mark Allen,550 Six Flags Pkwy.,Mableton,GA,30126,770,944-4963,770,944-4963,33.9842,-83.3947,
Clarke,Athens Hull Road Transfer Station,PBR-029-45TS,TS,400 Old Hull Rd.,Athens,GA,30606,Private Commercial,Lewis Cooper,1928 Executive Park Dr.,Statham,GA,30666,,,,,,770,725-7400,,,33.977911,-83.348728,
Clarke,Athens Transfer Station,PBR-029-46TS,TS,Maxey Blvd.,Athens,GA,30601,Private Commercial,"Republic Services of Georgia, LP",550 Six Flags Pkwy.,Mableton,GA,30126,Timothy Laraway,550 Six Flags Pkwy.,Mableton,GA,30129,770,944-4963,770,944-4963,33.9767,-83.3925,
Clarke,Let Us Compost Transfer Station,PBR-029-57TS,TS,695 King Ave.,Athens,GA,30606,Private Commercial,Kristen Baskin,695 King Ave.,Athens,GA,30606,Kristen Baskin,695 King Ave.,Athens,GA,30606,770,805-0113,404,805-0113,33.953683,-83.40256,Unable to verify operational status.
Clayton,"S.P. Petroleum Transporters, Inc.",PBR-031-38TS,TS,3854 Grant Rd.,Ellenwood,GA,30049,Private,Steven Paul,3854 Grant Rd.,Ellenwood,GA,30049,Steven Paul,3854 Grant Rd.,Ellenwood,GA,30049,404,361-0556,404,361-0556,33.646973,-84.303458,
Clayton,"MCF Environmental Services, Inc.",PBR-031-111TS,TS,4319 Tanners Church Rd.,Ellenwood,GA,30294,Private Commercial,"MCF Environmental Services, Inc.",4319 Tanners Church Rd.,Ellenwood,GA,30294,Robert Losundo,4319 Tanners Church Rd.,Ellenwood,GA,30294,770,593-9434,770,593-9434,33.638,-84.3119,
Clayton,"Biomed Southeast, Inc. Transfer Station",PBR-031-32TS,TS,"Airport Industrial Center, Unit 204, 4851 SR 85",Forest Park,GA,30297,Private,Gene Daniel,1941 Cement Plant Rd.,Nashville,TN,37208,Gene Daniel,1941 Cement Plant Rd.,Nashville,TN,37208,615,255-7361,615,255-7361,33.623555,-84.404397,
Clayton,"Stat Medical, Inc. Transfer Station",PBR-031-74TS,TS,"4851 GA Hwy. 85, Unit 212",Forest Park,GA,30050,Private,"Stat Medical, Inc.","4851 GA Hwy. 85, Unit 212",Forest Park,GA,30050,Jacki Jackson,"4851 GA Hwy. 85, Unit 212",Forest Park,GA,30050,404,766-0818,404,766-0818,33.623555,-84.404397,
Clayton,"Southern Refuse Services, Inc. Transfer Station",PBR-031-93TS,TS,327 Lamar Dr.,Forest Park,GA,30297,Private,"Waste Management, Inc.",P.O. Box 55,Emelle,AL,35459,Mike Gippert,5230 Jones Rd.,Forest Park,GA,30297,205,652-9721,404,608-2310,33.60894,-84.3701,
Cobb,"CAT Recovery Services, Inc. ","PBR-033-117COL,TS",TS,2110 Moon Station Dr.,Kennesaw,GA,30144,Private Commercial,Mark Logan,2110 Moon Station Dr.,Kennesaw,GA,30144,Mark Logan,2110 Moon Station Dr.,Kennesaw,GA,30144,678,797-1283,678,797-1283,34.690571,-84.991766,
Cobb,"Acworth Transfer Station (I Haul, Inc.)",PBR-033-82TS,TS,5497 N. Main St.,Acworth,GA,30101,Private,"Titan Enterprises, LLC",7550 Industrial Ct.,Alpharetta,GA,30004,Kyle Tripp,7550 Industrial Ct.,Alpharetta,GA,30004,678,762-1088,678,762-1088,34.07776,-84.69263,
Cobb,"Georgia Clean & Associates, LLC Biomecial Waste Transfer Station",PBR-033-119TS,TS,"4225 JVL Industrial Park Dr., Suite 501",Marietta,GA,30066,Private,Todd Reese/Gordy Powell,"4225 JVL Industrial Park Dr., Suite 501",Marietta,GA,30066,Todd Reese,1070 Falconcrest Dr.,Lawrenceville,GA,30043,404,456-3665,404,606-0134,34.0503,-84.519,
Cobb,"Consolidated Environmental Services, Inc.",PBR-033-14TS,TS,"1640 Albritton Dr., Suite 3",Kennesaw,GA,30144,Private,,,,,,Mark Warren,"1640 Albritton Dr., Suite 3",Kennesaw,GA,30144,,,770,425-3411,34.023434,-84.61549,
Cobb,"Dixie Waste Services, Inc.",PBR-033-24TS,TS,1339 Owenby Dr.,Marietta,GA,30066,Private,Robin D. Ray,1339 Owenby Dr.,Marietta,GA,30066,,P.O. Box 71596,Marietta,GA,30007,404,419-9170,404,419-9170,33.982134,-84.530105,
Cobb,Waste Management of Atlanta,PBR-033-67TS,TS,1161 Bells Ferry Rd.,Marietta,GA,30060,Private,Jeff Peckham,5025 Deen Rd.,Marietta,GA,30060,Waste Management of Atlanta,1161 Bells Ferry Rd.,Marietta,GA,30060,770,516-3313,770,516-3313,33.980692,-84.560601,
Cobb,Marble Mill Transfer Station,PBR-033-51TS,TS,325 Marble Mill Rd.,Marietta,GA,30060,Private,Allied Waste Services,325 Marble Mill Rd.,Marietts,GA,30060,,,,,,770,426-8132,,,33.977141,-84.566398,
Cobb,Marble Mill Recycling & Transfer Station,PBR-033-07TS,TS,317 Marble Mill Rd.,Marietta,GA,30060,Private,"Republic Services of Georgia, LP","110 SE 6th St., 28th Floor",Fort Lauderdale,FL,33301,,8607 Roberts Dr.,Atlanta,GA,30350,954,769-7217,404,640-2360,33.97651,-84.56458,
Cobb,Arbor Environmental Services Transfer Station,PBR-033-56TS,TS,400 Booth Rd.,Marietta,GA,30060,Private,Dennis Whitlow,110 Marietta Station Walk,Marietta,GA,30060,Dennis Whitlow,110 Marietta Station Walk,Marietta,GA,30060,404,419-9904,404,419-9904,33.922736,-84.564166,
Cobb,Advanced Disposal Services - Cobb County Transfer Station,PBR-033-118TS,TS,1897 County Services Pkwy.,Marietta,GA,30008,Private,,,,,,,,,,,,,,,33.906931,-84.582185,
Cobb,Advanced Disposal Services - Smyrna Transfer Station,PBR-033-109TS,TS,4696 South Cobb Dr.,Smyrna,GA,30080,Private Commercial,,,,,,,,,,,,,,,33.839677,-84.495807,
Cobb,"Tech 2100 Medical, Inc. Transfer Station",PBR-033-54TS,TS,"4859 Martin Ct. SE, Suite 10",Smyrna,GA,30082,Private,Dean Delawalla,"4859 Martin Ct. SE, Suite 10",Smyrna,GA,30082,Dean Delawalla,"4859 Martin Ct. SE, Suite 10",Smyrna,GA,30082,404,434-5200,404,434-5200,33.836493,-84.498517,
Cobb,Plant Atkinson Transfer Station,PBR-033-18TS,TS,207 Plant Atkinson Rd.,Smyrna,GA,30080,Private,Waste Management Disposal,P.O. Box 55,Emelle,AL,35459,Lee Nelson,207 Plant Atkinson Rd. SE,Smyrna,GA,30080,205,652-9721,404,351-8060,33.83435,-84.47266,
Cobb,"Chambers of Georgia, Inc. Transfer Station",PBR-033-61TS,TS,5545 Oakdale Rd.,Smyrna,GA,30082,Private,Greg Rosser,"3300 Highlands Pkwy., Suite 130",Smyrna,GA,30082,"Chambers of Georgia, Inc.",5545 Oakdale Rd.,Smyrna,GA,30082,404,438-7770,404,799-8304,33.825571,-84.496023,
Cobb,Bankhead C&D Transfer Station,PBR-033-104TS,TS,1490 Veterans Memorial Hwy.,Mableton,GA,30126,Private Commercial,"Siskey Hauling Co., Inc.",P.O. Box 506,Mableton,GA,30126,Matthew Roper,1490 Veterans Memorial Hwy.,Mableton,GA,30126,404,696-6316,404,,33.815325,-84.597827,
Cobb,"Evergreen Waste, LLC (biomedical and industrial waste) Collection and Transfer Station",PBR-033-102COL;TS,TS,1492 N. Blairs Bridge Rd.,Austell,GA,30168,Private Commercial,John Teague,1492 N. Blairs Bridge Rd.,Austell,GA,30168,"Evergreen Waste, LLC",1492 N. Blairs Bridge Rd.,Austell,GA,30168,770,739-5600,,,33.781124,-84.598455,
Cobb,Lee Industrial Transfer Station,PBR-033-52TS,TS,7140 Delta Circle,Austell,GA,30160,Private,"United Waste Services, Inc.",550 Six Flags Pkwy.,Mableton,GA,30059,Gary Stevens,550 Six Flags Pkwy.,Mableton,GA,30059,770,941-4363,770,941-4363,33.77827,-84.53975,
Cobb,"United Waste Services, Inc. / Lee Industrial Transfer Station",PBR-033-79TS,TS,7120 Delta Circle,Austell,GA,30160,Private,"Republic Services of Georgia, LP",P.O. Box 44066,Atlanta,GA,30336,United Waste Services,7120 Delta Circle,Austell,GA,30160,800,769-7218,770,948-5069,33.777332,-84.539568,
Coffee,Coffee County Transfer Station and Collection,"PBR-034-05TS,COL",TS,1219 Landfill Rd.,Douglas,GA,31533,Private Commercial,"Waste Industries, LLC","3301 Benson Dr., Suite 601",Raliegh,NC,27609,J. Corey Henderson,1219 Landfill Rd.,Douglas,GA,31533,919,325-3000,912,384-6001,31.570651,-82.895545,
Coffee,"Bio-Hazard Service, Inc. Biomedical Waste Transfer Station",PBR-024-08TS,TS,233 Cutter Rd,Douglas,GA,31535,Private Commercial,Thomas C. Griffin,233 Cutter Rd.,"Doublas
Ga
Douglas",GA,31535,Thomas C. Griffin,233 Cutter Rd.,Douglas,GA,31535,912,260-5707,912,260-5707,31.477373,-82.899418,
Colquitt,"CTV Recycling, Inc.",PBR-035-27TS,TS,305 Industrial Pkwy.,Moultrie,GA,31788,Private Commercial,"Randy Joe Cox, Sr.",550 Industrial Rd.,Moultrie,GA,31788,"Randy Joe Cox, Jr.",550 Industrial Rd.,Moultrie,GA,31788,229,985-1041,229,985-1041,31.182984,-83.743552,
Colquitt,"South Georgia Disposal, Inc.",PBR-035-024TS,TS,172 Adel Hwy.,Moultrie,GA,31768,Private,Superior Waste Services of Georgia,125 S. 84th St.,Milwaukee,WI,53214,Mark Morrisey,P.O. Box 3194,Valdosta,GA,31604,414,479-7800,912,244-2466,31.179908,-83.789063,
Colquitt,Colquitt County Board of Commissioners,PBR-035-17TS,TS,1816 Shade Murphy Rd.,Moultrie,GA,31768,Public,Colquitt County Board of Commissioners,P.O. Box 517,Moultrie,GA,31776-0517,Clint Perry,1816 Shade Murphy Rd.,Moultrie,GA,31768,229,616-7400,229,616-7475,31.09134,-83.84555,
Columbia,"Browning Ferris Industries of South Atlantic, Inc. Transfer Station",PBR-036-11TS,TS,683 Commerce Ct.,Evans,GA,30809,Private,Browning Ferris Industries,683 Commerce Ct.,Evans,GA,30809,Jay Katz,683 Commerce Ct.,Evans,GA,30809,706,860-7010,706,860-7010,33.548274,-82.121788,
Columbia,Advanced Disposal Services - Columbia Road Transfer Station,"PBR-036-19C0,TS",TS,5734 Columbia Rd.,Grovetown,GA,30813,Private,Advanced Disposal Services,"9995 Gate Pkwy., Suite 200",Jacksonville,FL,32246,Advanced Disposal Services,5734 Columbia Rd.,Grovetown,GA,30813,904,737-7900,706,790-7920,33.518766,-82.244775,
Coweta,"Republic Services, Inc. - Newnan Transfer Station",PBR-038-42TS,TS,129 Werz Industrial Blvd.,Newnan,GA,30263,Private,,,,,,,,,,,,,770,271-3575,33.400958,-84.763451,
Coweta,Coweta County,PBR-038-02TS,TS,164 Essie Mae Walker Rd.,Newnan,GA,30263,Public,Coweta County Environmental Management Department,101 Selt Rd.,Newnan,GA,30263,,164 Essie Walker Rd.,Newnan,GA,30263,770,254-3785,770,252-3748,33.36855,-84.85382,
Dade,Dade County Transfer Station,PBR-041-04TS,TS,598 Sunset Dr.,Trenton,GA,30752,Public,Dade County,P.O. Box 613,Trenton,GA,30752,,,,,,706,657-4625,,,34.87526,-85.50314,
Dawson,400 Convenience Center,PBR-042-12TS,TS,63 Daisy Dr.,Dawsonville,GA,30534,Public,,,,,,,,,,,,,,,34.363931,-84.049136,
Dawson,"Evans Garbage Service, Inc.",PBR-042-11TS,TS,27 Evans Circle,Dawsonville,GA,30534,Private Commercial,Jeff Evans,27 Evans Circle,Dawsonville,GA,30534,Jeff Evans,27 Evans Circle,Dawsonville,GA,30534,706,216-4232,706,216-4232,34.353801,-84.057145,
DeKalb,Advanced Disposal Services - Doraville Transfer Station,PBR-044-146TS,TS,2784 Woodwin Rd.,Doraville,GA,30360,Private,Charley (Rip) Thomson,P.O. Box 920365,Norcross,GA,30010,Charley (Rip) Thomson,P.O. Box 920365,Norcross,GA,30010,770,441-3037,770,441-3037,33.91743,-84.27469,
DeKalb,"Safety Disposal Systems of Georgia, Inc.",PBR-044-045TS,TS,5940 Peachtree Rd.,Atlanta,GA,30341,Private,J.R. Watson,5940 Peachtree Rd.,Atlanta,GA,30341,Ron Ceacal,100 Nix St.,Hampton,SC,29924,404,452-0011,803,943-5176,33.904493,-84.290128,
DeKalb,"Advantra, Inc. Biomedical Waste Collection and Transfer","PBR-044-165COL,TS",TS,"3367 W. Hospital Ave., Suite I",Atlanta,GA,30341,Private Commercial,"Advantra, Inc.",P.O. Box 467021,Atlanta,GA,401146,Jamie Reid,"5200 Peachtree Rd., Suite 3104",Chamblee,GA,30541,888,454-1857,888,454-1857,33.88853,-84.294669,
DeKalb,Clean Tech,PBR-044-145TS,TS,1806 Montreal Ct.,Atlanta,GA,30084,Private,H. Lee Creecy,1806 Montreal Ct.,Atlanta,GA,30084,Lee Creecy,1806 Montreal Ct.,Atlanta,GA,30084,404,932-8770,404,932-8770,33.832811,-84.251816,
DeKalb,Rogers Lake Road Transfer Station,PBR-044-143TS,TS,1790 Rogers Lake Rd.,Lithonia,GA,30058,Private,,,,,,,,,,,,,,,33.740614,-84.101991,
DeKalb,Advanced Disposal Services - Lithonia Transfer Station,PBR-044-144TS,TS,7040 Maddox Rd.,Lithonia,GA,30058,Private,Advanced Disposal Services,8880 Old Federal Hwy.,All Ground,GA,30107,"Walter H. Hall, Jr.",7915 Baymeadows Way,Jacksonville,FL,32256,678,341-7140,904,737-7900,33.73808,-84.10103,
DeKalb,"MCF Systems Atlanta, Inc.",PBR-044-141TS,TS,5351 Snapfinger Woods Dr.,Decatur,GA,30035,Private,Charles Mendez,5353 Snapfinger Woods Dr.,Decatur,GA,30035,Kevin Hightower,5353 Snapfinger Woods Dr.,Decatur,GA,30035,770,593-9434,770,593-9434,33.709309,-84.170754,
DeKalb,"Incendrere, Inc. Transfer Station",PBR-044-087TS,TS,5075 Minola Dr.,Lithonia,GA,30038,Private,"Robert L. Earl, Jr.",3710 Indian River Rd.,Chesapeake,VA,23325,Robert Earl,3710 Indian River Rd.,Chesapeake,VA,23325,804,424-7710,804,424-7710,33.700032,-84.181778,
DeKalb,"CFM Environmental Services, Inc.",PBR-044-150TS,TS,1235 Constitution Rd.,Atlanta,GA,30316,Private,Raymond L. Martin,3712 John Carrol Dr.,Decatur,GA,30034,Raymond L. Martin,3885 Brookwood Ct.,Decatur,GA,30034,770,622-1290,770,987-2154,33.688039,-84.33977,Unable to verify operational status.
DeKalb,Arrow Transfer Station,PBR-044-161TS,TS,4039 Bonsal Rd.,Conley,GA,30288,Private,Charles Thomson,1834 McJenkin Dr.,Doraville,GA,30345,,,,,,843,991-2066,770,441-3037,33.662745,-84.329037,
Dodge,Dodge County Transfer Station,PBR-045-04TS,TS,"CR 274, Dodge Ave.",Eastman,GA,31023,Public,,,,,,,,,,,,,,,32.187013,-83.163285,
Dougherty,Hall-Ing Refuse Company,PBR-047-24TS,TS,1515 Pecan Lane,Albany,GA,31705,Private,Allied Waste Industries,15880 N. Greenway Hayden Loop,Scottsdale,AZ,85260,Kerry Nelson,P.O. Box 50003,Albany,GA,31705,,,912,432-0760,31.540826,-84.095706,
Dougherty,Albany Transfer Station ,PBR-047-32TS,TS,1532 S. Mock Rd.,Albany,GA,31703,Private Commercial,Advanced Disposal Services,"90 Fort Wade Rd., Suite 300",Ponte Vedra,FL,32081,Charles N. Gray,"90 Fort Wade Rd., Suite 300",Ponte Vedra,FL,32081,904,737-7900,904,737-7900,31.540194,-84.098127,
Douglas,Douglas County Transfer Station,PBR-048-30TS,TS,1730 County Services Rd.,Douglasville,GA,30134,Public,,,,,,,,,,,,,770,920-3133,33.911021,-84.582066,
Douglas,Westside Transfer Station,PBR-048-29TS,TS,7930 W. Bankhead Hwy.,Douglasville,GA,30134,Private,"Waste Industries USA, Inc.",7930 W. Bankhead Hwy.,Douglasville,GA,30134,,,,,,770,947-2577,,,33.74035,-84.78419,
Early,City of Blakely Transfer Station,PBR-049-04TS,TS,43 Malone Rd.,Blakely,GA,31723,Public,,,,,,,,,,,,,,,31.401,-84.929903,
Emanuel,Emanuel County Transfer Station,PBR-053-07TS,TS,SR 297 / Nunez Rd.,Swainsboro,GA,30401,Public,,,,,,,,,,,,,,,32.514284,-82.334199,
Evans,Evans County Transfer Station (Custom Waste),PBR-054-11TS,TS,752 Landfill Rd.,Claxton,GA,30417,Private,Evans County Board of Commissioners,3 Freeman St.,Claxton,GA,30417,Forrest Conder,3475 Bill Hodges Rd.,Claxton,GA,30417,912,739-1141,912,739-7122,32.135551,-81.921465,
Fannin,"Appalachian Waste Systems, LLC - Fannin County Transfer Station",PBR-055-12TS,TS,530 Tom Boyd Rd.,Blue Ridge,GA,30513,Private,Rudy Roach,P.O. Box 612,Hiawassee,GA,30546,Rudy Roach,P.O. Box 612,Hiawassee,GA,30546,706,896-1575,706,896-1575,34.89892,-84.355613,
Fannin,Advanced Disposal Services - Blue Ridge Transfer Station,PBR-055-15TS,TS,10169 Lakewood Hwy.,Mineral Bluff,GA,30559,Private Commercial,Advanced Disposal Services,"7915 Baymeadows Way, Suite 300",Jacksonville,FL,32256,Charles C. Appleby,"7915 Baymeadows Way, Suite 300",Jacksonville,FL,32256,904,737-7900,904,737-7900,34.896845,-84.263089,
Fannin,"Silver Star Environmental Services, LLC d/b/a Sugar Creek C&D Disposal Faciity Transfer Station (Yellow Box Containers, Inc.)",PBR-055-14TS,TS,79 Jeff's Way (off 302 Tom Boyd Rd.),Blue Ridge,GA,30513,Private Commercial,"Silver Star Envionrmental Services, LLC",4696 Oakdale Rd.,Smyrna,GA,30080,Leon Watkins,4696 Oakdale Rd.,Smyrna,GA,30090,770,319-6421,706,273-8858,34.8864,-84.3531,
Fannin,"North GA Waste, LLC","PBR-055-17COL,TS",TS,114 Forge Mill Rd.,Morganton,GA,30560,Private Commercial,Daniel G. Shuler,160 Hells Hollow Rd.,Blue Ridge,GA,30513,Holly H. Shuller,160 Hells Hollow Rd.,Blue Ridge,GA,30513,706,900-1010,706,9001010,34.886381,-84.259921,
Fayette,EPI,PBR-056-295TS,TS,120 Clover Lane,Tyrone,GA,30290,Private,,,,,,,,,,,,,,,33.442891,-84.610255,Unable to verify operational status.
Fayette,Southern States - Fayette,PBR-056-001TS,TS,221 First Manassas Mile Rd.,Fayetteville,GA,30214,Private,Fayette County Engineering Division,"140 Stonewall Ave. West, Suite 203",Fayetteville,GA,30214,"Waste Management, Inc.",P.O. Box 55,Emelle,AL,35459,770,305-5410,205,652-9721,33.437538,-84.478945,
Fayette,"Crews Environmental, Inc.",PBR-056-298TS,TS,252 First Manasses Mile Rd.,Fayetteville,GA,30214,Private,,,,,,,,,,,,,,,33.437538,-84.478945,
Fayette,"Pye Barker Green Environment, LLC","PBR-056-301COL,TS",TS,"Landlot 42, District 6",Peachtree,GA,30267,Private Commercial,,,,,,,,,,,,,,,33.356899,-84.554782,
Floyd,Rome Transfer Station,PBR-064-29TS,TS,"Eastside of SR 53, 0.4 miles south of West Hermitage Rd.",Rome,GA,30161,Private Commercial,,,,,,,,,,,,,,,34.321223,-85.102454,
Forsyth,"Aftermath Services, LLC Biomedical Waste Transfer Station",PBR-058-341TS,TS,"135 Enterprise Dr., Suite E",Cumming,GA,30040,Private Commercial,"Aftermath Services, LLC","75 Executive Dr., Suite 200",Aurora,IL,60504,Patricia Heinle,"75 Executive Dr., Suite 200",Aurora,IL,60504,630,551-0735,630,551-0735,34.20732,-84.140193,
Forsyth,Forsyth County Board of Commissioners,PBR-058-167TS,TS,110 E. Main St.,Cumming,GA,30040,Public,,,,,,,,,,,,,,,34.207315,-84.138649,Unable to verify operational status.
Forsyth,Mauldin Drive Transfer Station,PBR-058-011TS,TS,175 Mauldin Dr.,Alpharetta,GA,30004,Private,,,,,,,,,,,,,770,619-9658,34.157363,-84.251196,
Forsyth,"Waste Research and Recovery, Inc. Transfer Station",PBR-058-009TS,TS,"4100 Nine-Macfarland Dr., Suite D",Alpharetta,GA,30201,Private,,,,,,,,,,,,,,,34.135985,-84.256532,Unable to verify operational status.
Forsyth,Tomahawk Waste Management,PBR-058-172TS,TS,744 McFarland Rd.,Alpharetta,GA,30338,Private,,,,,,,,,,,,,,,34.135985,-84.256532,Unable to verify operational status.
Forsyth,"Vision Transfer, LLC",PBR-058-176TS,TS,3711 Trammell Rd.,Cumming,GA,30131,Private,,,,,,,,,,,,,,,34.131241,-84.130682,Unable to verify operational status.
Fulton,Industrial Environmental Technologies Corp.,PBR-060-210TS,TS,"1065 Nine North Dr., Suite B",Alpharetta,GA,30004,Private,Michael John Smith,"1065 Nine North Dr., Suite B",Alpharetta,GA,30004,Michael John Smith,"1065 Nine North Dr., Suite B",Alpharetta,GA,30004,770,329-2175,770,329-2175,34.087897,-84.347751,
Fulton,Advanced Disposal Services - Roswell Transfer Station,PBR-060-118TS-A,TS,1802 Hembree Rd.,Roswell,GA,30201,Private,Mark Allen,967 Carl-Bethlehem Rd.,Winder,GA,30680,Mark Allen,967 Carl-Bethlehem Rd.,Winder,GA,30680,770,867-2499,770,867-2499,34.0609,-84.3116,
Fulton,Alpharetta Transfer Station,PBR-060-238TS,TS,11465 Maxwell Rd.,Alpharetta,GA,30004,Private Commercial,"SRS Holding, LLC","1351 Oakbrook Dr., #180",Norcross,GA,30093,Michael R. Ayers,"1351 Oakbrook Dr., #180",Norcross,GA,30093,770,447-1154,770,447-1154,34.058642,-84.301431,
Fulton,Apps of GA,PBR-060-204TS,TS,"600 Houze Way, Suite C-2",Roswell,GA,30076,Private,Jim Price,"600 Houze Way, Suite C-2",Roswell,GA,30076,Dennis Sturgill,"600 Houze Way, Suite C-2",Roswell,GA,30076,770,642-1195,770,642-1195,34.047479,-84.342725,
Fulton,Equis Atlanta T&P,PBR-060-202TS,TS,1470 Great Southwest Pkwy.,Atlanta,GA,30336,Private,"EQ Holding Company, Inc.",36255 Michigan Ave.,Wayne,GA,48184,Lee Starnes,1470 Great Southwest Pkwy.,Atlanta,GA,30336,734,329-8000,404,472-0410,33.744086,-84.558151,
Fulton,"Micro-Med of Georgia, Inc.",PBR-060-097TS,TS,720 Great Southwest Pkwy.,Atlanta,GA,30366,Private,,,,,,,,,,,,,,,33.744057,-84.559333,Unable to verify operational status.
Fulton,"Biocor, Inc.",PBR-060-101TS,TS,580 Whitehall St.,Atlanta,GA,30301,Private,,,,,,,,,,,,,,,33.742727,-84.406189,Unable to verify operational status.
Fulton,"Evergreen Waste, LLC MSW and Industrial Waste Collection and Transfer Station","PBR-060-252TS,COL",TS,650 Fairburn Rd. SW,Atlanta,GA,30131,Private Commercial,"DNT Environmental Services, Inc.",650 Fairburn Rd. SW,Atlanta,GA,30331,John Teague,650 Fairburn Rd.,Atlanta,GA,30331,770,739-5600,770,739-5600,33.737382,-84.507324,
Fulton,EQ Industrial Services,PBR-060-221TS,TS,5600 Fulton Industrial Blvd. SW,Atlanta,GA,30336,Private,"EQ Holding Company, Inc.",36255 Michigan Ave.,Wayne,GA,48184,John Teague,5600 Fulton Industrial Blvd. SW,Atlanta,GA,30336,734,329-8000,404,494-3520,33.733851,-84.567284,
Fulton,"Mindis Treatment Services, Inc.",PBR-060-105TS,TS,460 Sawtell Ave.,Atlanta,GA,30315,Private,,,,,,,,,,,,,,,33.710408,-84.375256,Unable to verify operational status.
Fulton,Gateway Transfer Station,PBR-060-207TS,TS,1625 Westgate Pkwy.,Atlanta,GA,30336,Private,"SRS, Inc.",3530 Waters Cove Way,Alpharetta,GA,30022,Michael Ayers,3530 Waters Cove Way,Alpharetta,GA,30022,770,754-5000,770,754-5000,33.708712,-84.595359,
Fulton,"Big E Environmental (Oakdale Environmental, Inc.)",PBR-060-239TS,TS,2250 Sylvan Rd.,East Point,GA,30344,Private Commercial,"Ezell Developments, LLC",825 Warner St. SW,Atlanta,GA,30310,Marshall Ezell,825 Warner St. SW,Atlanta,GA,30310,404,817-0517,,,33.693388,-84.4184,
Fulton,East Point Transfer Station,PBR-060-122TS,TS,3125 S. Martin St.,East Point,GA,30344,Public,"BFI Transfer Systems of Georgia, LLC",325 Marble Mill Rd.,Marietta,GA,30060,Jeff Clem,3045 Donald Lee Hollowell Pkwy.,Atlanta,GA,30318,770,514-2910,404,792-2660,33.6687,-84.4307,
Fulton,"Latham Home Sanitation Co., Inc.",PBR-060-012TS,TS,3070 Roosevelt Hwy.,College Park,GA,30349,Private,"Latham Home Sanitation Co., Inc.",3070 Roosevelt Hwy.,College Park,GA,30349,Ric Jarvis,P.O. Box 398,Red Oak,GA,30278,770,972-0999,770,972-0999,33.621769,-84.490889,
Fulton,Advanced Disposal Services - Welcome All Transfer Station,PBR-060-216TS,TS,5225 Welcome All Rd.,College Park,GA,30349,Private,Ric Jarvis,P.O. Box 1770,Red Oak,GA,30272,Ric Jarvis,P.O. Box 1770,Red Oak,GA,30270,770,972-2715,770,972-2715,33.6131,-84.52542,
Fulton,"Soful, LLC Transfer Station",PBR-060-223TS,TS,"5700 Roosevelt Hwy., LL 134",Fairburn,GA,30213,Private,Charles G. Bartenfeld,"3580 Piedmont Dr., Suite 215",Atlanta,GA,30305,Charles G. Bartenfeld,"3580 Piedmont Dr., Suite 215",Atlanta,GA,30305,404,760-0067,404,760-0067,33.55558,-84.594735,
Fulton,"CLM Sanitation, LLC d/b/a Fairburn Transfer Station - Waste Industries",PBR-060-250TS,TS,609 Bohannon,Fairburn,GA,30213,Private Commercial,Lukas Johnson,610 Bohannon Rd.,Fairburn,GA,30213,Lukas Johnson,610 Bohannon Rd.,Fairburn,GA,30213,770,774-7014,,,33.548373,-84.593157,
Fulton,Philip Services Corp. / Allwaste Recovery System,PBR-060-212TS,TS,8025 Spence Rd.,Fairburn,GA,30213,Private Commercial,Philip Services Corp.,"5151 San Felipe, Suite 100",Houston,TX,77056,Colin D. Ramsey,8025 Spence Rd.,Fairburn,GA,30213,713,623-8777,770,969-7886,33.534963,-84.54954,
Gilmer,Advanced Disposal Services - Ellijay Transfer Station,PBR-061-03TS,TS,114 Progress Rd.,Ellijay,GA,30540,Private,Charles Appleby,"7915 Baymeadows Way, Suite 300",Jacksonville,FL,32256,Charles Appleby,"7915 Baymeadows Way, Suite 300",Jacksonville,FL,32256,904,737-7900,,,34.6645,-84.49925,
