County,Facility_Name,Permit_Number,Facility_Type,Facility_Address,Facility_City,Facility_State,Facility_Zip,Dominion,Contact_Name,Contact_Address,Contact_City,Contact_State,Contact_Zip,Manager_Name,Manager_Address,Manager_City,Manager_State,Manager_Zip,Contact_AreaCode,Contact_Phone,Manager_AreaCode,Manager_Phone,Latitude ,Longitude ,Notes
Seminole,Seminole County Board of Commissioners Transfer Station,PBR-125-03TS,TS,Adjacent to landfill,Donalsonville,GA,31745,Public,,,,,,,,,,,,,,,30.928932,-84.879769,
Spalding,City of Griffin Transfer Station,PBR-126-07TS,TS,1515 Industrial Dr.,Griffin,GA,30224,Public,,,,,,,,,,,,,,,33.220435,-84.29104,
Stephens,Carter's Transfer Station,PBR-127-18TS,TS,McJunkins Rd.,Eastanollee,GA,30538,Private,John L. Carter,5192 Brookhaven Circle,Toccoa,GA,30577,,,,GA,,770,779-5211,,,34.56609,-83.23412,
Stephens,City of Toccoa Transfer Station,PBR-127-03TS,TS,SR 145 and Old Liberty Hill Rd. at landfill,Toccoa,GA,30577,Public,,,,,,,,,,,,,,,34.542086,-83.307516,
Sumter,McMath Road Transfer Station,PBR-129-12TS,TS,361 McMath Mill Rd.,Americus,GA,31709,Private,"Trans Waste Services, LLC",1723 N. Washington St.,Albany,GA,31701,Mike Powell,1723 N. Washington St.,Albany,GA,31701,229,888-5200,229,888-5200,32.0754,-84.2783,
Sumter,Solid Waste Management Corp. Transfer Station,PBR-129-06TS,TS,300 Sweet Ave.,Americus,GA,31709,Private,,,,,,,,,,,,,,,32.053565,-84.206951,Unable to verify operational status.
Sumter,"Ameri-Green Environmental Recycling, LLC",PBR-129-20TS,TS,109 Mathews Dr.,Americus,GA,31709,Private Commercial,Cliff Sizemore,109 Mathews Dr.,Americus,GA,31709,Darrie Art,109 Mathews Dr.,Americus,GA,31709,229,924-3004,229,314-2751,32.0532,-84.2083,
Sumter,Solid Waste Management Corp.,PBR-129-05TS,TS,302 Brady Rd.,Americus,GA,31709,Private,,,,,,,,,,,,,,,31.96422,-84.134375,Unable to verify operational status.
Taylor,WI Disposal Taylor County Rail Transfer Station,PBR-133-03TS,TS,CR 33,Mink,GA,31056,Private Commercial,"WI Taylor County Disposal Services, LLC",208 Southern States Rd.,Maulk,GA,31058,Richard Johnson,"3301 Benson Dr., Suite 601",Raleigh,NC,27609,478,862-2504,404,267-3240,32.46083,-84.37722,
Terrell,Terrell County Transfer Station,PBR-135-01TS,TS,3370 Albany Hwy.,Dawson,GA,31742,Public,"Trans Waste Service, LLC",1723 N. Washington St.,Albany,GA,31701,Mike Powell,1723 N. Washington St.,Albany,GA,31701,229,888-5200,229,883-5200,31.739699,-84.410843,
Tift,Ryder Transportation Services,PBR-137-14TS,TS,8 Farmers Market Rd.,Tifton,GA,31794,Private,,,,,,,,,,,,,,,31.42468,-83.497173,Unable to verify operational status.
Towns,Allen Disposal Transfer Station,PBR-139-06TS,TS,Shake Rag Rd.,Hiawassee,GA,30546,Private,Trudy Allen,P.O. Box 791,Hiawassee,GA,30546,Bill Allen,P.O. Box 791,Hiawassee,GA,30546,706,781-4725,,,34.937746,-83.738331,
Towns,Towns County Transfer Station,PBR-139-03COL;TS,TS,GA Hwy. 288,Hiawassee,GA,30546,Public,Towns County,"48 River St., Suite B",Hiawassee,GA,30546,Bill Kendall,"48 River St., Suite B",Hiawassee,GA,30546,706,896-2276,706,896-2276,34.927523,-83.747853,
Troup,Troup County C&D Landfill,PBR-141-12TS,TS,Parmer Rd.,Mountville,GA,32061,Public,Troup County Board of Commissioners,P.O. Box 1149,Lagrange,GA,30241,Judson F. Gilmer,P.O. Box 1149,Lagrange,GA,30241,706,883-1610,706,883-1610,33.034729,-84.904318,
Troup,C&C Sanitation Transfer,PBR141-11TS,TS,844 Old Hutchinson Mill Rd.,LaGrange,GA,30241,Private,Dan McAdams,2230 Greenville Rd.,LaGrange,GA,30241,Dan McAdams,,,,,706,885-9977,,,32.980969,-85.050694,
Union,Union County Transfer Station,PBR-144-20TS,TS,1226 Deep South Farm Rd.,Blairsville,GA,20512,Private Commercial,Union County,65 Courthouse St.,Blairsville,GA,30512,Lamar Paris,65 Courthouse St.,Blairsville,GA,30512,706,439-6000,706,439-6000,34.893638,-83.958367,
Union,"Regional Disposal Services, Inc.",PBR-144-08TS,TS,Hayfield Rd.,Blairsville,GA,30512,Private Commercial,Darren Rowan,2220 Rowan Dr.,Blarisville,GA,30512,Carren Rowan,2220 Rowan Dr.,Blairsville,GA,30512,706,745-8647,706,745-8647,34.86194,-84.02916,
Upson,Transfer,PBR-145-03TS,TS,Waymanville Rd.,Thomaston,GA,30286,Private,,,,,,,,,,,,,,,32.852409,-84.267518,
Upson,Trans Waste Services - Thomaston Transfer Station,PBR-145-09TS,TS,2616  Waynmanville Rd.,Thomaston,GA,30286,Private,"Trans Waste Services, LLC",3301 Benson Dr.,Raleigh,NC,27609,Richard Johnson,3301 Benson Dr.,Raleigh,NC,27609,919,325-3000,919,325-3000,32.85014,-84.26637,
Walton,City of Monroe Transfer Station,PBR-147-39TS,TS,213 Cherry Hill Rd.,Monroe,GA,30655,Public,City of Monroe,P.O. Box 1249,Monroe,GA,30655,Danny P. Smith,P.O. Box 1249,Monroe,GA,30655,770,267-6933,770,267-6933,33.80852,-83.690584,
Walton,Holder Inert Landfill ,PBR-147-38TS,TS,805 Adamson Dr.,Monroe,GA,30655,Private,,,,,,,,,,,404,683-6634,770,267-7926,33.766527,-83.713001,Unable to verify operational status.
Walton,Walton County Recycling Center / Transfer Station,PBR-147-29TS,TS,2051 Leroy Anderson Rd. SE,Monroe,GA,30655,Public,,,,,,,,,,,,,,,33.761764,-83.703126,
Walton,"Earthwise Industries, Inc. (biomedical waste transfer station)",PBR-147-49TS,TS,4766 Guthrie Cemetery Rd.,Loganville,GA,30052,Private Commercial,"Earthwise Industries, Inc.",P.O. Box 2300,Loganville,GA,30052,John Fullard,1764 Miramonte Way,Lawrenceville,GA,30045,770,979-7555,770,466-1167,33.751959,-83.871789,
Ware,"Republic Services d/b/a Southland Waste Systems, Inc.",PBR-148-09TS,TS,3473 Harris Rd.,Waycross,GA,31503,Private Commercial,Republic Services d/b/a Southland Waste Systems,3473 Harris Rd.,Waycross,GA,31503,Richard Lee,3473 Harris Rd.,Waycross,GA,31503,912,284-1000,912,284-1000,31.259,-82.40479,
Ware,"Security Disposal, Inc.","PBR-148-13COL,TS",TS,3077 Brown Dr.,Waycross,GA,31502,Private,W.H. Gillis,P.O. Box 2047,Waycross,GA,3502,W.H. Gillis,P.O. Box 2047,Waycross,GA,31502,912,283-1003,912,283-1003,31.252382,-82.411272,
Warren,Greenwood Church Road Transfer Station,PBR-149-06TS,TS,2726 Green Wood Church Rd.,Norwood,GA,30821,Private,,,,,,,,,,,,,,,33.494269,-82.800563,Unable to verify operational status.
Washington,Advanced Disposal Services - Hurst Road Transfer Station,PBR-150-06TS,TS,305 McNeely Lane,Tennille,GA,31089,Private Commercial,Advanced Disposal Services,"7915 Baymeadows Way, Suite 300",Jacksonville,FL,32256,"Walter H. Hall, Jr.","7915 Baymeadows Way, Suite 300",Jacksonville,FL,32256,904,737-7900,904,737-7900,32.83111,-82.83972,
Webster,Jones Sanitation,"PBR-152-01COL,TS",TS,Harris @ Ben Williams,Preston,GA,31824,Private,Chris Jones,3428 Ben Williams Rd.,Preston,GA,31824,Chris Jones,3428 Ben Williams Rd.,Preston,GA,31824,229,828-7578,229,828-7578,31.995771,-84.558694,
White,Advanced Disposal Services -White County Transfer Station,PBR-154-03TS,TS,670 Industrial Blvd.,Cleveland,GA,30528,Private,"Harry Barton, Jr.","59 S. Main St., Suite A",Cleveland,GA,30528,,,,,,706,865-6768,,,34.595833,-83.762333,
Whitfield,"Absolute Best, LLC",PBR-155-29TS,TS,4262 Country Way,Cohutta,GA,30710,Private Commercial,Kevin Cleek,4262 Country Way,Cohutta,GA,30710,Kevin Cleek,4262 Country Way,Cohutta,GA,30710,706,852-2228,706,852-2228,34.921482,-84.960781,
Whitfield,"Polk Brothers Roll-off's, Inc.",PBR-155-24TS,TS,3307B Chattanooga Rd.,Tunnel Hill,GA,30755,Private,,,,,,,,,,,,,,,34.83457,-85.045237,Unable to verify operational status.
Whitfield,Hamilton Medical Center,"PBR-155-30COL,TS",TS,1200 Memorial Dr.,Dalton,GA,30720,Private Commercial,,,,,,,,,,,,,,,34.789635,-84.983978,
Whitfield,City of Dalton Public Works Transfer Station,PBR-155-26TS,TS,"1924 Martin Luther King, Jr. Blvd.",Dalton,GA,30723,Public,,,,,,,,,,,,,,,34.778391,-84.933015,Unable to verify operational status.
Whitfield,"North Georgia Disposal, Inc.",PBR-155-18TS,TS,2207 Industrial South Rd.,Dalton,GA,30720,Private,,,,,,,,,,,,,,,34.712286,-84.951291,Unable to verify operational status.
Whitfield,"H.L. ""Bob"" Mooney, Sr. Solid Waste Transfer Facility",PBR-155-25TS,TS,3681 S. Dixie Hwy.,Dalton,GA,30720,Public,"Jordan Holdings, LLC",P.O. Box 589,Dalton,GA,30240,Steve Jordan,P.O. Box 689,Dalton,GA,30720,706,673-2396,706,673-2396,34.690571,-84.991766,
Wilcox,"Southern Renewable Resources, Inc. Transfer Station",PBR-156-05TS,TS,Old county landfill and maintenance facility,Rochelle,GA,31079,Private,,,,,,,,,,,,,,,31.94069,-83.430662,
Wilkes,Wilkes County CR 40 MSWL Transfer Station,PBR-157-02TS,TS,150 Landfill Rd.,Washington,GA,30673,Public,,,,,,,,,,,,,,,33.697242,-82.740632,
Worth,Worth County,PBR-159-08TS,TS,Two miles east of SR 112,Sylvester,GA,31791,Public,Billy McDonald,201 North Main St.,Sylvester,GA,31791,Billy McDonald,201 N. Main St.,Sylvester,GA,31791,,,912,776-8200,31.530735,-83.835454,
