PermitNo,Lat,Long
152-006P(CO),32.02527778,-84.445
152-007P(CO),32.02527778,-84.445
153-005D(SL),32.28848583,-82.69524361
154-003D(SL),34.66840833,-83.77068722
155-010D(LI),34.63416667,-84.92583333
155-021D(SL),34.65164167,-84.95028389
155-027D(SL),34.65164167,-84.95028389
155-028P(IWT),34.73027778,-84.96083333
155-033D(SL),34.7514525,-85.04684472
155-034D(L),34.77559778,-84.93312778
155-037D(L),34.77559778,-84.93312778
155-043D(L),34.92537556,-84.91579389
155-044D(SL),34.65164167,-84.95028389
155-047D(SL),34.65164167,-84.95028389
155-048D(LI),34.64722222,-84.94444444
155-049P(RM),34.64583333,-84.95
156-001D(SL),31.93989028,-83.43143556
157-003D(SL),33.69637556,-82.73838333
157-004D(MSWL),33.69630083,-82.7383325
158-005D(LI),32.87166667,-83.22444444
158-007D(LI),32.84805556,-83.195
158-008D(LI),32.83805556,-83.19361111
158-009D(LI),32.87722222,-83.33527778
158-010D(SL),32.83569806,-83.26140972
158-012D(LI),32.73944444,-83.26583333
158-013D(LI),32.85972222,-83.21972222
158-014D(LI),32.87722222,-83.32888889
159-004D(SL),31.55320194,-83.79269778
APL 0071,33.95361111,-83.57361111
APL 0113,32.79361111,-83.64194444
APL 01301,31.226825,-81.81414722
APL 01701,34.50888889,-81.96861111
APL 0255,32.09638889,-81.24833333
APL 0257,32.02902222,-81.30633056
APL 0271,34.51908333,-85.43472222
APL 03103,33.60833333,-84.32222222
APL 0335,33.82388889,-84.47583333
APL 0336,34.04555556,-84.61
APL 0342,31.52138889,-82.90694444
APL 0371,31.09722222,-80.4275
APL 0451,32.18805556,-83.15944444
APL 0572,34.25,-85.35777778
APL 05801,34.45916667,-85.24944444
APL 06016,33.58,-84.53
apl 0697,34.27777778,-83.80277778
APL 0783,34.39944444,-84.00388889
APL 0810,33.08777778,-82.43444444
APL 0992,33.17861111,-84.84388889
APL 1052,34.66222222,-84.73833333
APL 1112,32.68972222,-83.75666667
APL 12101,32.35166667,-82.13222222
APL 1224,33.65953611,-83.98864167
APL 12601,33.25027778,-84.36
"APL 1301
APL 1301",32.57777778,-84.56
APL 1311,33.48861111,-82.8975
APL 1371,31.36111111,-83.53416667
apl 13801,32.14802222,-82.39220833
APL 1411,33.03416667,-84.9125
APL 1462,34.83479417,-85.36785306
APL 1501,33.07055556,-82.72638889
APL 1584,32.9989,-83.19
APL0314,33.64472222,-84.32277778
APL0601,34.25555556,-83.45277778
APL077,34.83943111,-85.36346389
APL-1212,33.355059,-82.133989
APL1388,32.13,-82.38
APL1511,31.2815,-81.5628
APL1578,33.18,-83.28
APLI 0171,33.10416667,-82.05
APLI 0253,32.17638889,-81.07638889
APLI 0256,32.08111111,-81.16861111
APLI 0351,31.1875,-83.74583333
APLI 0401,31.97,-83.74083333
APLI 0433,30.71333333,-84.49277778
APLI 0493,31.16777778,-85.09722222
APL-INERT-005,32.795,-83.60888889
APL-INERT-020,34.42,-84.32722222
APL-INERT-023,33.37172222,-82.15558056
APL-INERT-024,33.37541944,-82.24030278
APL-INERT-038,33.445,-84.305
APL-INERT-043,33.41381667,-82.21698056
APL-INERT-045,33.38361111,-81.995
APL-INERT-049,33.38302778,-81.9905
APL-INERT-050,30.88139,-84.58806
CCR  Crisp,32.94583333,-85.00305556
CON001,33.32888889,-81.95388889
MOD 0082,34.14583333,-84.75361111
